case_id,endpoint,bbl,sale_date,deed_document_id,deed_url,purchase_mortgage_document_id,purchase_financing_evidence,distress_evidence,borrower_buyer_match,collateral_match,purchase_vs_refinance,source_pages,reviewer,second_reviewer,notes
H001,a,4108930019,2019-12-16,2019122300241001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019122300241001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H001,z,4108930019,2025-02-13,2025031100290001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025031100290001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H002,a,4027740029,2021-09-09,2021100400323001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021100400323001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H002,z,4027740029,2025-12-18,2025121900668001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025121900668001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H003,a,4104500021,2019-08-15,2019090600788003,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019090600788003,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H003,z,4104500021,2025-01-31,2025021201097001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025021201097001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H004,a,4033820049,2022-08-25,2022092200936001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022092200936001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H004,z,4033820049,2025-08-26,2025090500732001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025090500732001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H005,a,2043040007,2022-09-19,2022092000876001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022092000876001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H005,z,2043040007,2025-11-13,2025120300285001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025120300285001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
