case_id,pair_row,sample_kind,switch_group,pair_selection_probability,inverse_probability_weight,bbl,date_a,date_z,flag_a,flag_z,log_price_growth,parcel_influence
H001,5178,probability_sample,cash_to_financed,0.019157088122605363,52.2,4108930019,2019-12-16,2025-02-13,0,1,1.0876231670925145,0.00017678772350734561
H002,3390,probability_sample,financed_to_cash,0.027137042062415198,36.85,4027740029,2021-09-09,2025-12-18,1,0,-0.6796100688443697,0.00040091996324452387
H003,5075,probability_sample,cash_to_financed,0.019157088122605363,52.2,4104500021,2019-08-15,2025-01-31,0,1,0.3028722379457561,-7.493706424821091e-05
H004,3557,targeted_influence,financed_to_cash,,,4033820049,2022-08-25,2025-08-26,1,0,1.192922968139351,-0.001084086180690432
H005,526,targeted_missing_loan_amount,unchanged,,,2043040007,2022-09-19,2025-11-13,1,1,0.1150693297847872,1.3681877890204294e-05
H006,4501,probability_sample,financed_to_cash,0.027137042062415198,36.85,4082330421,2016-05-05,2022-06-16,1,0,-0.1186057424078469,0.0002533102355873355
H007,1817,probability_sample,cash_to_financed,0.019157088122605363,52.2,3039820006,2019-04-12,2025-01-27,0,1,0.3770838155699394,-6.604750022560909e-07
H008,1493,targeted_missing_loan_amount,unchanged,,,3017810056,2016-07-25,2020-05-27,1,1,0.2074717904167295,1.2213671816157982e-05
H009,2070,probability_sample,cash_to_financed,0.019157088122605363,52.2,3051700043,2019-12-10,2025-04-09,0,1,0.3541718137206139,-3.7300613549718964e-05
H010,625,targeted_influence,financed_to_cash,,,2046510071,2018-10-24,2023-08-09,1,0,1.693052052475234,-0.0011805515780115173
H011,1293,probability_sample,cash_to_financed,0.019157088122605363,52.2,3012450083,2018-12-04,2025-12-23,0,1,0.1580087740198888,-6.566719362054448e-05
H012,3642,probability_sample,cash_to_financed,0.019157088122605363,52.2,4038250037,2016-01-06,2021-05-05,0,1,0.3646431135879092,3.5895534369841224e-05
H013,5206,probability_sample,cash_to_financed,0.019157088122605363,52.2,4109800053,2020-06-16,2025-06-26,0,1,0.6526558192052084,6.157047419193673e-05
H014,420,probability_sample,financed_to_cash,0.027137042062415198,36.85,2040200043,2019-07-16,2024-05-20,1,0,0.2461330695389085,8.802990015801237e-05
H015,1929,probability_sample,financed_to_cash,0.027137042062415198,36.85,3046100044,2016-07-13,2021-06-16,1,0,0.384411698910332,-0.00010898971901952606
H016,5959,targeted_influence,cash_to_financed,,,4161100062,2017-02-01,2023-06-16,0,1,-1.8225311278948089,-0.0012573569716475036
H017,4111,probability_sample,cash_to_financed,0.019157088122605363,52.2,4061940030,2019-06-06,2022-12-20,0,1,0.114880275998422,-2.8254855984908654e-05
H018,3376,probability_sample,cash_to_financed,0.019157088122605363,52.2,4027430056,2019-10-15,2023-11-15,0,1,0.9400072584914712,0.00032123995815719065
H019,2727,probability_sample,cash_to_financed,0.019157088122605363,52.2,3077940054,2019-01-05,2024-06-21,0,1,0.9847815428256704,0.000420884160268677
H020,3969,targeted_influence,financed_to_cash,,,4054890048,2017-08-23,2023-09-22,1,0,-1.0284088774528477,0.0009924379632193084
H021,207,probability_sample,financed_to_cash,0.027137042062415198,36.85,2030800064,2017-03-07,2025-02-27,1,0,0.4975803970159699,2.1656722537814434e-05
H022,5616,probability_sample,financed_to_cash,0.027137042062415198,36.85,4125860022,2019-03-19,2022-05-09,1,0,0.4635727389154451,-0.0001560488100055832
H023,1730,probability_sample,cash_to_financed,0.019157088122605363,52.2,3034390022,2017-11-27,2025-06-23,0,1,0.7904593630349432,0.00012928752891280674
H024,141,probability_sample,financed_to_cash,0.027137042062415198,36.85,2028560023,2018-12-12,2025-01-31,1,0,1.087888325305134,-5.8053621068688416e-05
H025,2250,targeted_influence,cash_to_financed,,,3059680019,2017-12-14,2022-02-01,0,1,-1.322172556199156,-0.0009316947411903251
H026,5830,probability_sample,cash_to_financed,0.019157088122605363,52.2,4141830004,2017-09-27,2025-10-17,0,1,1.1849246093552417,0.0004556810923046417
H027,3536,targeted_missing_loan_amount,unchanged,,,4032800003,2019-05-09,2022-10-06,1,1,0.190995946467525,1.2843384196611967e-05
H028,3327,probability_sample,cash_to_financed,0.019157088122605363,52.2,4024250045,2017-01-25,2021-07-28,0,1,0.1964334009866359,-4.9576140510965406e-05
H029,2577,probability_sample,financed_to_cash,0.027137042062415198,36.85,3073710027,2020-10-27,2024-09-13,1,0,-0.3405590074773899,0.00021533699721017964
H030,5568,probability_sample,financed_to_cash,0.027137042062415198,36.85,4123160011,2021-05-10,2024-08-12,1,0,0.1612681475961223,8.511388685939964e-06
H031,1651,targeted_influence,cash_to_financed,,,3030440033,2018-11-26,2024-04-15,0,1,0.3899609215721992,-0.0009672586339631594
H032,1221,probability_sample,financed_to_cash,0.027137042062415198,36.85,3009690125,2016-08-15,2025-03-14,1,0,0.2869578646187154,6.495253834387684e-05
H033,2565,probability_sample,financed_to_cash,0.027137042062415198,36.85,3073200068,2018-07-03,2023-08-10,1,0,-0.048790164169432,7.421194283353835e-05
H034,2192,targeted_influence,financed_to_cash,,,3057060054,2021-06-16,2025-02-25,1,0,1.3523928094442093,-0.0009471041406234771
H035,5040,probability_sample,cash_to_financed,0.019157088122605363,52.2,4102720011,2019-08-23,2025-12-16,0,1,1.3328056761689044,0.0002382695167549825
H036,4274,probability_sample,financed_to_cash,0.027137042062415198,36.85,4071340078,2017-06-27,2025-01-29,1,0,-0.0052493558861436,1.4032547516817953e-05
H037,4244,probability_sample,cash_to_financed,0.019157088122605363,52.2,4069780011,2017-09-18,2020-11-10,0,1,0.0382212128201976,-7.577343877403705e-06
H038,3533,targeted_influence,cash_to_financed,,,4032660043,2019-05-31,2023-03-31,0,1,2.0343211063993665,0.001014435361655151
H039,4603,probability_sample,cash_to_financed,0.019157088122605363,52.2,4087540036,2016-07-18,2025-04-16,0,1,0.445286602294836,-1.691110321917886e-05
H040,3801,probability_sample,cash_to_financed,0.019157088122605363,52.2,4046440001,2018-08-17,2025-01-28,0,1,0.2199556797478937,1.1370176943408947e-05
H041,5761,targeted_influence,financed_to_cash,,,4135730003,2019-09-10,2023-07-18,1,0,1.1647520911726548,-0.0012643705628946485
H042,3895,probability_sample,financed_to_cash,0.027137042062415198,36.85,4051090130,2017-06-19,2025-10-21,1,0,-1.1071232430176083,0.0008026516418332512
H043,1351,probability_sample,financed_to_cash,0.027137042062415198,36.85,3013780018,2017-04-28,2021-03-08,1,0,-0.2058520542041487,0.00023646441883673665
H044,1358,targeted_influence,cash_to_financed,,,3013940005,2017-05-30,2023-03-03,0,1,2.197488248458031,0.001445370592122552
H045,4387,probability_sample,financed_to_cash,0.027137042062415198,36.85,4076080034,2019-04-30,2025-06-18,1,0,-0.0679729835862059,0.00010469908363898464
H046,2933,probability_sample,financed_to_cash,0.027137042062415198,36.85,3085260062,2018-10-03,2023-01-13,1,0,0.199271115107728,-0.00011057068982012114
H047,4065,probability_sample,cash_to_financed,0.019157088122605363,52.2,4060230009,2016-05-26,2023-12-15,0,1,0.2313291359006491,-0.00011362353618471022
H048,5825,probability_sample,financed_to_cash,0.027137042062415198,36.85,4141750036,2017-10-18,2020-12-10,1,0,0.2084374039245143,1.3542650352507528e-05
H049,4934,probability_sample,financed_to_cash,0.027137042062415198,36.85,4097360122,2016-05-16,2022-08-26,1,0,0.2762533766281581,0.00016439011721586236
H050,634,probability_sample,financed_to_cash,0.027137042062415198,36.85,2046640033,2017-07-05,2023-02-01,1,0,0.3201675275962692,-9.312311605974693e-05
H051,538,probability_sample,financed_to_cash,0.027137042062415198,36.85,2043730001,2020-11-17,2024-01-29,1,0,0.0843873922775474,-9.794448924849752e-05
H052,4193,probability_sample,cash_to_financed,0.019157088122605363,52.2,4067230047,2016-05-11,2019-06-10,0,1,0.8921159707870562,0.00039450590393464834
H053,5125,probability_sample,cash_to_financed,0.019157088122605363,52.2,4106630041,2019-05-06,2023-11-28,0,1,0.7184345002745945,5.172675024304278e-05
