type,threshold,financing_window,n_X_minus_1,n_X,financed_share_X_minus_1,financed_share_X,difference,se_difference,ci_low,ci_high,same_tax_side,common_period,local_sales,small_cell
all,500000,strict,40,819,0.625,0.5616605616605617,0.06333943833943834,0.07866774694294307,-0.09084934566873007,0.21752822234760674,True,2020-2025,31940,False
all,500000,base,40,819,0.65,0.5714285714285714,0.07857142857142863,0.07756426938525351,-0.07345453942366825,0.2305973965665255,True,2020-2025,31940,False
all,500000,wide,40,819,0.7,0.6068376068376068,0.09316239316239316,0.07466610393304544,-0.05318317054637589,0.23950795687116222,True,2020-2025,31940,False
all,1000000,strict,377,64,0.7612732095490716,0.59375,0.16752320954907163,0.064934991604596,0.04025062600406348,0.29479579309407977,False,2020-2025,33340,False
all,1000000,base,377,64,0.76657824933687,0.609375,0.15720324933687002,0.06448622492824936,0.030810248477501273,0.2835962501962388,False,2020-2025,33340,False
all,1000000,wide,377,64,0.7745358090185677,0.625,0.14953580901856767,0.06396790169234756,0.024158721701566438,0.2749128963355689,False,2020-2025,33340,False
all,2000000,strict,90,205,0.7222222222222222,0.5707317073170731,0.1514905149051491,0.058648873157198717,0.0365387235170396,0.2664423062932586,False,2020-2025,5329,False
all,2000000,base,90,205,0.7333333333333333,0.5804878048780487,0.15284552845528454,0.05811012615235998,0.038949681196658995,0.2667413757139101,False,2020-2025,5329,False
all,2000000,wide,90,205,0.7333333333333333,0.6,0.1333333333333333,0.057971578144996046,0.01970904016914106,0.24695762649752556,False,2020-2025,5329,False
all,3000000,strict,47,82,0.7446808510638298,0.35365853658536583,0.3910223144784639,0.08266171006184925,0.2290053627572394,0.5530392661996885,False,2020-2025,1851,False
all,3000000,base,47,82,0.7659574468085106,0.3780487804878049,0.38790866632070575,0.08174103724815497,0.227696233314322,0.5481210993270895,False,2020-2025,1851,False
all,3000000,wide,47,82,0.8085106382978723,0.3902439024390244,0.4182667358588479,0.07871429951140936,0.26398670881648556,0.5725467629012102,False,2020-2025,1851,False
house,500000,strict,33,628,0.6363636363636364,0.5684713375796179,0.06789229878401848,0.08632759790686322,-0.10130979311343341,0.23709439068147037,True,2020-2025,20895,False
house,500000,base,33,628,0.6363636363636364,0.5780254777070064,0.058338158656629946,0.08632470404938737,-0.11085826128016929,0.22753457859342918,True,2020-2025,20895,False
house,500000,wide,33,628,0.696969696969697,0.6242038216560509,0.07276587531364609,0.08266605541007048,-0.08925959329009206,0.23479134391738424,True,2020-2025,20895,False
house,1000000,strict,322,50,0.7795031055900621,0.62,0.1595031055900621,0.07246290445816689,0.01747581285205499,0.30153039832806916,False,2020-2025,24792,False
house,1000000,base,322,50,0.7857142857142857,0.64,0.14571428571428569,0.07166793422065558,0.005245134641800764,0.2861834367867706,False,2020-2025,24792,False
house,1000000,wide,322,50,0.7950310559006211,0.66,0.13503105590062103,0.07073850446249544,-0.003616412845870026,0.27367852464711206,False,2020-2025,24792,False
house,2000000,strict,62,137,0.7419354838709677,0.6131386861313869,0.12879679773958086,0.06971100904820267,-0.007836779994896376,0.2654303754740581,False,2020-2025,2508,False
house,2000000,base,62,137,0.7580645161290323,0.6204379562043796,0.13762655992465267,0.06868818390554313,0.002997719469788135,0.27225540037951723,False,2020-2025,2508,False
house,2000000,wide,62,137,0.7580645161290323,0.635036496350365,0.12302801977866729,0.06850398969127026,-0.011239800016222434,0.257295839573557,False,2020-2025,2508,False
house,3000000,strict,29,46,0.7241379310344828,0.45652173913043476,0.267616191904048,0.11082436171747281,0.0504004429378013,0.4848319408702947,False,2020-2025,651,True
house,3000000,base,29,46,0.7586206896551724,0.4782608695652174,0.28035982008995497,0.10834588569940003,0.06800188411913091,0.49271775606077906,False,2020-2025,651,True
house,3000000,wide,29,46,0.8275862068965517,0.5,0.3275862068965517,0.10175968524663008,0.12813722381315676,0.5270351899799467,False,2020-2025,651,True
condo,500000,strict,7,191,0.5714285714285714,0.5392670157068062,0.032161555721765156,0.19049559653188763,-0.3412098134807346,0.4055329249242649,True,2020-2025,11045,True
condo,500000,base,7,191,0.7142857142857143,0.5497382198952879,0.16454749439042637,0.1745092124257377,-0.17749056196401952,0.5065855507448722,True,2020-2025,11045,True
condo,500000,wide,7,191,0.7142857142857143,0.5497382198952879,0.16454749439042637,0.1745092124257377,-0.17749056196401952,0.5065855507448722,True,2020-2025,11045,True
condo,1000000,strict,55,14,0.6545454545454545,0.5,0.15454545454545454,0.14532129374527009,-0.1302842811952748,0.4393751902861839,False,2020-2025,8548,True
condo,1000000,base,55,14,0.6545454545454545,0.5,0.15454545454545454,0.14532129374527009,-0.1302842811952748,0.4393751902861839,False,2020-2025,8548,True
condo,1000000,wide,55,14,0.6545454545454545,0.5,0.15454545454545454,0.14532129374527009,-0.1302842811952748,0.4393751902861839,False,2020-2025,8548,True
condo,2000000,strict,28,68,0.6785714285714286,0.4852941176470588,0.19327731092436978,0.1070654626031484,-0.01657099577780108,0.40312561762654064,False,2020-2025,2821,True
condo,2000000,base,28,68,0.6785714285714286,0.5,0.1785714285714286,0.10708031387844016,-0.031305986630314114,0.38844884377317135,False,2020-2025,2821,True
condo,2000000,wide,28,68,0.6785714285714286,0.5294117647058824,0.14915966386554624,0.10702089641181707,-0.06060129310161522,0.3589206208327077,False,2020-2025,2821,True
condo,3000000,strict,18,36,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.12001371663718258,0.3203286709466777,0.7907824401644334,False,2020-2025,1200,True
condo,3000000,base,18,36,0.7777777777777778,0.25,0.5277777777777778,0.12169851322310106,0.28924869186049973,0.7663068636950559,False,2020-2025,1200,True
condo,3000000,wide,18,36,0.7777777777777778,0.25,0.5277777777777778,0.12169851322310106,0.28924869186049973,0.7663068636950559,False,2020-2025,1200,True
