bbl,unit_key,sale_day,legacy_k,all_sales_k,expanded_m,extra_competitors,base_candidate_filings,base_filing_competing_sales,base_unique_candidate_document_id,legacy_expanded,expanded_all_competitors,unique_strict,unique_base,unique_wide,stratum,stratum_population,selection_probability,inverse_probability_weight,instrument_unit_match,borrower_purchase_match,evidence_url,reviewer
1013970069,1013970069|901,2025-09-29,13,13,3,0,1,15.0,2025091600647001,-1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
4022150001,4022150001|12A,2024-08-21,3,4,5,1,3,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1015090051,1015090051|12E,2022-09-21,4,4,2,0,1,4.0,2022101800520001,-1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
3051560048,3051560048|3D,2024-12-11,1,2,2,1,2,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1015420033,1015420033|4N,2018-07-09,5,5,5,0,2,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
4033160010,4033160010|EF2,2017-07-26,3,4,5,1,3,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1008900001,1008900001|114,2017-01-19,6,6,6,0,4,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1015250021,1015250021|12D,2016-12-07,1,1,8,0,3,,,1,1,0,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
2059090152,2059090152|4E,2025-02-27,1,1,3,0,3,,,1,1,1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
2059190460,2059190460|4FE,2022-10-19,4,6,4,2,2,,,1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
2057430002,2057430002|4K,2020-11-02,17,17,2,0,2,,,-1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1013330001,1013330001|3-Z,2022-07-28,4,6,8,2,5,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1019440010,1019440010|3A,2019-03-04,2,2,2,0,2,,,1,1,1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1013340041,1013340041|1409,2017-08-22,10,10,11,0,10,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1019950077,1019950077|1E,2017-06-26,1,1,4,0,2,,,1,1,0,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1005060027,1005060027|6H,2024-08-27,2,2,4,0,3,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1018320025,1018320025|8A,2018-04-09,2,2,6,0,3,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1008910077,1008910077|8C,2016-04-21,2,2,5,0,4,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
4001410015,4001410015|B16,2025-06-24,2,2,3,0,3,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
3011710019,3011710019|2M,2020-07-23,2,2,2,0,1,2.0,2020091300068001,1,1,0,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1012300061,1012300061|PHA,2022-10-27,3,3,1,0,1,4.0,2022102700255001,-1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
4012380025,4012380025|7G,2016-03-15,4,10,14,6,7,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1013510001,1013510001|2707,2019-11-19,2,2,9,0,4,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1013330018,1013330018|15EN,2024-01-31,3,4,1,1,1,3.0,2024013100593001,-1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1013680024,1013680024|9A,2022-03-23,3,3,2,0,1,4.0,2022042700188001,-1,-1,0,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
4032360035,4032360035|19Z,2022-05-09,7,11,11,4,9,,,1,1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
4059380005,4059380005|12L,2023-02-01,2,3,2,1,2,,,1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
3002260001,3002260001|4B,2018-06-12,1,2,1,1,1,2.0,2018061101239001,1,-1,1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1008930002,1008930002|13W,2023-06-09,3,4,3,1,1,3.0,2023060900342001,1,-1,1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
1001170001,1001170001|4D,2023-03-02,6,6,3,0,3,,,-1,-1,-1,-1,-1,ambiguous,55101,0.0005444547285893178,1836.7,UNREVIEWED,UNREVIEWED,,
4097360108,4097360108|4H,2024-03-25,13,14,2,1,0,,,-1,-1,0,0,-1,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1002247504,1002247504|502,2023-06-28,43,49,0,6,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
4012540012,4012540012|5H,2023-10-05,1,2,1,1,0,,,1,-1,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1013680024,1013680024|6E,2019-04-10,2,2,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1011830050,1011830050|1103,2020-07-07,2,2,1,0,0,,,-1,-1,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1002247504,1002247504|701,2023-09-13,35,38,0,3,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1019487502,1019487502|6B,2019-01-15,3,4,0,1,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
3061200023,3061200023|5B,2018-12-11,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1012110042,1012110042|G,2022-12-27,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1005847501,1005847501|M6K,2022-05-13,6,7,0,1,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1005357501,1005357501|B308,2023-10-17,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1011587505,1011587505|12R,2025-03-18,5,6,0,1,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1013860001,1013860001|7B,2024-12-12,2,2,2,0,0,,,1,1,0,0,-1,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1008980039,1008980039|1F,2023-03-29,2,2,2,0,0,,,1,1,0,0,-1,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
4014580001,4014580001|3A,2017-04-21,2,2,4,0,0,,,1,1,0,0,-1,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
4033607501,4033607501|2407,2019-06-06,3,6,0,3,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1012090006,1012090006|6A,2022-05-26,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1004520019,1004520019|19,2022-11-11,6,6,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1008760026,1008760026|3B,2025-01-31,33,34,0,1,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
4001617501,4001617501|5H,2019-11-21,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
3011460007,3011460007|3B,2022-08-22,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1013860046,1013860046|4NO,2022-12-13,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1018937501,1018937501|2D,2017-07-18,2,2,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1015250021,1015250021|17C,2022-03-09,1,1,2,0,0,,,1,1,0,0,-1,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1014040052,1014040052|1C,2025-04-15,2,2,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
4053740023,4053740023|3H,2022-03-02,1,1,1,0,0,,,1,1,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1014487501,1014487501|4F,2022-12-13,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1005760049,1005760049|11B,2022-11-30,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1008180073,1008180073|8A,2016-02-12,1,1,3,0,0,,,1,1,0,0,-1,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1012470037,1012470037|PH,2024-09-12,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1014060017,1014060017|7AB,2025-02-11,1,1,1,0,1,1.0,2025020500312001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3011700041,3011700041|1CD,2020-02-17,1,1,1,0,1,1.0,2020020400882001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1014970044,1014970044|4B,2023-04-20,1,1,1,0,1,1.0,2023052400191001,1,1,0,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3002630012,3002630012|5/6,2024-07-18,1,1,1,0,1,1.0,2024071700708001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3061370135,3061370135|2B,2023-06-27,1,1,1,0,1,1.0,2023062800199001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4032330022,4032330022|47,2017-06-09,1,1,1,0,1,1.0,2017053101747001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
