specification,pairs,parcels,cf,fc,nuisance_columns,pi_residual,asym_residual,pi_joint,asym_joint,se_residual,se_joint,switch_information_fraction,max_nuisance_score,ci_residual_low,ci_residual_high,ci_joint_low,ci_joint_high
S0_original,8208,8127,1669,1035,154,0.11142999677152773,0.00955585850905609,0.11422151239622587,0.03349520671940262,0.008462816108779617,0.008692257056354171,0.822651160995941,2.822817327108318e-09,0.09484287719831969,0.12801711634473578,0.0971846885657717,0.13125833622668004
S1_permit_free,6316,6263,1194,765,152,0.09341893684353933,-0.018285634300325593,0.09634896892383198,-0.011757925763217963,0.008997326465738385,0.009282377427837551,0.8263367678316783,2.3972457074972198e-09,0.07578417697069209,0.11105369671638657,0.07815550916527038,0.11454242868239357
S2_named_institution_exclusion,6033,5983,1049,750,152,0.10478164166960005,-0.005351921041754193,0.1081830678247933,0.004189623900634737,0.009172727364181323,0.0094641748210389,0.8318191164329651,2.4546170096506614e-09,0.08680309603580466,0.12276018730339544,0.08963328517555705,0.12673285047402955
S3_buyer_seller_controls,6033,5983,1049,750,158,0.07234617809496022,-0.018026274226154937,0.08500813786537811,-0.014607139388646356,0.008440034341891887,0.009810528145585314,0.759363550459308,5.520322310381687e-09,0.05580371078485212,0.08888864540506831,0.0657795027000309,0.10423677303072533
S4_same_linked_sample,6006,5957,1044,737,158,0.07557330581968036,-0.02187550758168333,0.08865913448700807,-0.019171463784745088,0.008505298362184109,0.00987142427068442,0.760333225589067,1.2749210021034685e-08,0.05890292102979951,0.09224369060956121,0.06931114291646662,0.10800712605754953
S5_community_district_year,6006,5957,1044,737,594,0.07468671200391318,-0.014360873160337309,0.09495975212082618,-0.010926913411447858,0.007456893413026023,0.009371316609596734,0.7015563736047118,7.208758256993519e-09,0.06007120091438217,0.08930222309344418,0.07659197156601658,0.11332753267563578
S6_zip_year,6006,5957,1044,737,1256,0.0638684756274689,-0.01725911951398596,0.09251354999219932,-0.018144533618888528,0.00649618751690281,0.009260735093072708,0.6115523201556039,5.251422907637249e-09,0.0511359480943394,0.07660100316059841,0.07436250920977681,0.11066459077462183
S7_stable_financing,5864,5817,1014,702,1253,0.06162714269374622,-0.016015368356432746,0.09027579085441846,-0.01626968021239658,0.006542715921458573,0.009439502984616413,0.604279710428398,8.574870036248683e-09,0.04880341948768742,0.07445086589980503,0.0717743650045703,0.10877721670426663
S8_broad_lender_exclusion,5918,5869,1014,719,1256,0.06444950402984145,-0.01858209178817083,0.09306533485313812,-0.020676205057171812,0.006542433895802359,0.009294816007930331,0.6118327056940349,5.912907191651939e-09,0.05162633359406883,0.07727267446561407,0.07484749547759467,0.11128317422868156
S9_unique_deed_amount_match,5798,5752,987,715,1254,0.06270765526149509,-0.019724108220505306,0.0923142486176586,-0.024234187927891032,0.00629930832688235,0.00913878268515269,0.6058879133195093,1.044494246649208e-08,0.05036101094080568,0.0750542995821845,0.07440223455475933,0.11022626268055788
