,S0_original|residual,S0_original|joint,S1_permit_free|residual,S1_permit_free|joint,S2_named_institution_exclusion|residual,S2_named_institution_exclusion|joint,S3_buyer_seller_controls|residual,S3_buyer_seller_controls|joint,S4_same_linked_sample|residual,S4_same_linked_sample|joint,S5_community_district_year|residual,S5_community_district_year|joint,S6_zip_year|residual,S6_zip_year|joint,S7_stable_financing|residual,S7_stable_financing|joint,S8_broad_lender_exclusion|residual,S8_broad_lender_exclusion|joint,S9_unique_deed_amount_match|residual,S9_unique_deed_amount_match|joint
S0_original|residual,7.161925649101997e-05,7.346392067019667e-05,5.99216264032582e-05,6.172642293107078e-05,5.897893903540382e-05,6.079218007200517e-05,5.0238026956506284e-05,5.9054217334712145e-05,5.025380092476282e-05,5.903377325751792e-05,4.0529248699414786e-05,5.1655255681209446e-05,3.1448255035421615e-05,4.561145463816522e-05,3.0235476802073058e-05,4.447748875507659e-05,3.127863788267886e-05,4.526712055663165e-05,2.909493999552936e-05,4.2955918954386536e-05
S0_original|joint,7.346392067019667e-05,7.555533273373868e-05,6.142500293144873e-05,6.342496882008492e-05,6.0462758983053975e-05,6.24771048107459e-05,5.1537460132648005e-05,6.067370438359498e-05,5.1556097647255264e-05,6.065805949874805e-05,4.158409299492798e-05,5.31067469923186e-05,3.22523517387398e-05,4.6870404205798806e-05,3.1022853556969024e-05,4.572849834890973e-05,3.207808828318352e-05,4.65177940081593e-05,2.986550741738503e-05,4.4186308939815956e-05
S1_permit_free|residual,5.99216264032582e-05,6.142500293144873e-05,8.095188353107643e-05,8.341847229310657e-05,7.941265968512412e-05,8.188583215163146e-05,6.773709024234863e-05,7.96546988978508e-05,6.775074499558866e-05,7.961811618747977e-05,5.476223897805518e-05,6.981356259100916e-05,4.2680789190492834e-05,6.190567953117423e-05,4.1055545633935636e-05,6.0393225269892817e-05,4.246503915005159e-05,6.145550165869672e-05,3.938524773870298e-05,5.815563619040044e-05
S1_permit_free|joint,6.172642293107078e-05,6.342496882008492e-05,8.341847229310657e-05,8.616253071282811e-05,8.182119716002817e-05,8.458270343407921e-05,6.984163703195937e-05,8.226264804930445e-05,6.985784120289409e-05,8.223097433012029e-05,5.6455416858290766e-05,7.21274684664746e-05,4.39769241771259e-05,6.392269358899218e-05,4.2310310543458766e-05,6.237543889682024e-05,4.375876210145931e-05,6.346589745548607e-05,4.062480948844483e-05,6.0122517201507646e-05
S2_named_institution_exclusion|residual,5.897893903540382e-05,6.0462758983053975e-05,7.941265968512412e-05,8.182119716002817e-05,8.41389272976006e-05,8.668476688281246e-05,7.169385871262834e-05,8.43426986184733e-05,7.16967756799522e-05,8.429435774445918e-05,5.7985574129149246e-05,7.390422005897373e-05,4.526912346261126e-05,6.563273138993643e-05,4.355987917629611e-05,6.404964760482935e-05,4.5017833377710556e-05,6.512354906347079e-05,4.1684731135214616e-05,6.151325848995608e-05
S2_named_institution_exclusion|joint,6.079218007200517e-05,6.24771048107459e-05,8.188583215163146e-05,8.458270343407921e-05,8.668476688281246e-05,8.95706050431865e-05,7.392614182161193e-05,8.713494949552567e-05,7.392920129394843e-05,8.70904514895628e-05,5.977268266663606e-05,7.637598294518658e-05,4.66395202262197e-05,6.779262985241547e-05,4.4892570174138436e-05,6.61820551567513e-05,4.63879840954733e-05,6.727884894423788e-05,4.299524551561155e-05,6.361596832963548e-05
S3_buyer_seller_controls|residual,5.0238026956506284e-05,5.1537460132648005e-05,6.773709024234863e-05,6.984163703195937e-05,7.169385871262834e-05,7.392614182161193e-05,7.123417969231451e-05,8.237407834407521e-05,7.125134887391042e-05,8.227918240661995e-05,5.768952167412751e-05,7.201654076060704e-05,4.5652845930035895e-05,6.483825474103379e-05,4.418399011336821e-05,6.36403757820158e-05,4.525746009352449e-05,6.415011261486478e-05,4.171910756843526e-05,6.0247826188636874e-05
S3_buyer_seller_controls|joint,5.9054217334712145e-05,6.067370438359498e-05,7.96546988978508e-05,8.226264804930445e-05,8.43426986184733e-05,8.713494949552567e-05,8.237407834407521e-05,9.624646249532166e-05,8.236328874509635e-05,9.613896702041896e-05,6.661229219864002e-05,8.420907106699267e-05,5.277689332216015e-05,7.592530837395418e-05,5.1094420429889785e-05,7.452853244086671e-05,5.2305403633239796e-05,7.508588390525908e-05,4.821624473966209e-05,7.059523932127196e-05
S4_same_linked_sample|residual,5.025380092476282e-05,5.1556097647255264e-05,6.775074499558866e-05,6.985784120289409e-05,7.16967756799522e-05,7.392920129394843e-05,7.125134887391042e-05,8.236328874509635e-05,7.234010022977176e-05,8.349376115698829e-05,5.855996260783135e-05,7.304755685244237e-05,4.635844004813322e-05,6.576873523065581e-05,4.486549683457409e-05,6.455082340343406e-05,4.596195695342508e-05,6.507860631819615e-05,4.238509052984053e-05,6.11327322994033e-05
S4_same_linked_sample|joint,5.903377325751792e-05,6.065805949874805e-05,7.961811618747977e-05,8.223097433012029e-05,8.429435774445918e-05,8.70904514895628e-05,8.227918240661995e-05,9.613896702041896e-05,8.349376115698829e-05,9.744501713185785e-05,6.750965097768176e-05,8.531500874772792e-05,5.351258456376172e-05,7.693590625114349e-05,5.180407658417847e-05,7.551536306846536e-05,5.3040335930002125e-05,7.609402478177148e-05,4.8910475624204136e-05,7.155696598009571e-05
