name,role,specific_institution_rule,broad_rule,pair_endpoint_occurrences,validation_status
FANNIE MAE,seller,True,True,35,name-rule audit only; foreclosure/REO not legally validated
FEDERAL NATIONAL MORTGAGE ASSOCIATION,seller,True,True,35,name-rule audit only; foreclosure/REO not legally validated
FEDERAL NATIONAL MORTGAGE ASSOCIATION,buyer,True,True,31,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE",seller,True,True,21,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A.",buyer,True,True,17,name-rule audit only; foreclosure/REO not legally validated
DEUTSCHE BANK NATIONAL TRUST COMPANY,buyer,True,True,17,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK NATIONAL ASSOCIATION,buyer,True,True,15,name-rule audit only; foreclosure/REO not legally validated
"DEUTSCHE BANK NATIONAL TRUST COMPANY, AS TRUSTEE",seller,True,True,13,name-rule audit only; foreclosure/REO not legally validated
21ST MORTGAGE CORPORATION,buyer,False,True,13,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A., AS TRUSTEE FOR LSF9 MASTER",seller,True,True,12,name-rule audit only; foreclosure/REO not legally validated
21ST MORTGAGE CORPORATION,seller,False,True,10,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB",seller,False,True,9,name-rule audit only; foreclosure/REO not legally validated
SECRETARY OF HOUSING AND URBAN DEVELOPMENT,seller,True,True,8,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A.",buyer,True,True,8,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A.",seller,True,True,8,name-rule audit only; foreclosure/REO not legally validated
"BANK OF AMERICA, N.A.",buyer,True,True,7,name-rule audit only; foreclosure/REO not legally validated
DEUTSCHE BANK NATIONAL TRUST COMPANY,seller,True,True,7,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION",buyer,False,True,7,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A., AS TRUSTEE",seller,True,True,7,name-rule audit only; foreclosure/REO not legally validated
"BANK OF AMERICA, N.A.",seller,True,True,7,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, NA",buyer,True,True,6,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, NA",seller,True,True,6,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK NATIONAL ASSOCIATION,seller,True,True,6,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION",seller,True,True,5,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB",buyer,False,True,5,name-rule audit only; foreclosure/REO not legally validated
THE BANK OF NEW YORK MELLON,buyer,True,True,4,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION",seller,False,True,4,name-rule audit only; foreclosure/REO not legally validated
NATIONSTAR MORTGAGE LLC,seller,True,True,4,name-rule audit only; foreclosure/REO not legally validated
"DEUTSCHE BANK NATIONAL TRUST COMPANY, AS TRUSTEE",buyer,True,True,4,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, NOT IN ITS INDIVID",buyer,True,True,4,name-rule audit only; foreclosure/REO not legally validated
GOSHEN MORTGAGE REO LLC,seller,False,True,4,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON TRUST NATIONAL ASSOCIATION,buyer,False,True,4,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A., AS TRUSTEE FOR LSF8 MASTER",seller,True,True,3,name-rule audit only; foreclosure/REO not legally validated
US BANK NATIONAL ASSOCIATION,buyer,True,True,3,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, NATIONAL ASSOCIATION AS TRUSTEE FOR",seller,True,True,3,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE",buyer,True,True,3,name-rule audit only; foreclosure/REO not legally validated
THE BANK OF NEW YORK MELLON,seller,True,True,3,name-rule audit only; foreclosure/REO not legally validated
"DEUTSCHE BANK NATIONAL TRUST COMPANY, AS TRUSTEE F",seller,True,True,3,name-rule audit only; foreclosure/REO not legally validated
DEUTSCHE BANK NATIONAL TRUST COMPANY AS TRUSTEE,seller,True,True,3,name-rule audit only; foreclosure/REO not legally validated
FEDERAL HOME LOAN MORTGAGE CORPORATION,buyer,True,True,3,name-rule audit only; foreclosure/REO not legally validated
