type,financed,window,threshold,above,below,log_ratio,ratio,se_log_ratio
all,0,strict,500000,3557,2981,0.17665867827038376,1.1932237504193224,0.02564671479935239
all,0,base,500000,3487,2917,0.17848607680792977,1.1954062392869387,0.025937030662876996
all,0,wide,500000,3312,2665,0.21734817890520547,1.2427767354596624,0.026943185454761653
all,1,strict,500000,8930,3144,1.0439205203214474,2.840330788804071,0.020752034385413978
all,1,base,500000,9000,3208,1.0315768873319513,2.8054862842892767,0.020580170878101694
all,1,wide,500000,9175,3460,0.9752138048710012,2.651734104046243,0.019944193699957796
all,0,strict,1000000,1097,2932,-0.9831056027313119,0.3741473396998636,0.036660335773792956
all,0,base,1000000,1073,2865,-0.9821098865181415,0.37452006980802793,0.03710043860532083
all,0,wide,1000000,1054,2796,-0.9755973742523932,0.376967095851216,0.037506696333519766
all,1,strict,1000000,3007,11025,-1.2992225173265177,0.2727437641723356,0.020575957028949703
all,1,base,1000000,3031,11092,-1.2973315296778656,0.27326000721240534,0.020508146517425004
all,1,wide,1000000,3050,11161,-1.2972839680542576,0.2732730042110922,0.020441590888332594
all,0,strict,2000000,419,755,-0.5888468293268869,0.5549668874172186,0.06094558871068326
all,0,base,2000000,406,742,-0.6029960835656478,0.5471698113207547,0.061782681086359856
all,0,wide,2000000,393,728,-0.6164914363274248,0.5398351648351648,0.06254507567030733
all,1,strict,2000000,593,1307,-0.7902953146264965,0.45371078806426934,0.0494669953405313
all,1,base,2000000,606,1320,-0.7785070295111021,0.4590909090909091,0.049048696908031354
all,1,wide,2000000,619,1334,-0.7678319537909729,0.46401799100449775,0.0486139177026527
all,0,strict,3000000,182,297,-0.4897254517259043,0.6127946127946128,0.09425968388323355
all,0,base,3000000,177,287,-0.4833324831857919,0.6167247386759582,0.09570008272638755
all,0,wide,3000000,175,279,-0.46642580789785154,0.6272401433691757,0.09655495122368357
all,1,strict,3000000,139,349,-0.9205979890717354,0.3982808022922636,0.10029742826817908
all,1,base,3000000,144,359,-0.9135090889122782,0.4011142061281337,0.09864055841680291
all,1,wide,3000000,146,367,-0.9217552263462339,0.3978201634877384,0.09784738478273258
