type,threshold,year,borough,local_sales,financed,cash
all,500000,2020,1,288,168,120
all,500000,2020,2,1135,890,245
all,500000,2020,3,1489,1132,357
all,500000,2020,4,3015,2275,740
all,500000,2021,1,561,327,234
all,500000,2021,2,1234,992,242
all,500000,2021,3,1862,1476,386
all,500000,2021,4,3411,2510,901
all,500000,2022,1,451,260,191
all,500000,2022,2,1045,786,259
all,500000,2022,3,1584,1124,460
all,500000,2022,4,2752,1898,854
all,500000,2023,1,337,152,185
all,500000,2023,2,784,602,182
all,500000,2023,3,1219,757,462
all,500000,2023,4,2252,1363,889
all,500000,2024,1,348,145,203
all,500000,2024,2,679,495,184
all,500000,2024,3,1165,705,460
all,500000,2024,4,2168,1232,936
all,500000,2025,1,418,165,253
all,500000,2025,2,652,409,243
all,500000,2025,3,1056,593,463
all,500000,2025,4,2035,1123,912
all,1000000,2020,1,432,240,192
all,1000000,2020,2,190,144,46
all,1000000,2020,3,1512,1236,276
all,1000000,2020,4,1786,1502,284
all,1000000,2021,1,879,564,315
all,1000000,2021,2,441,372,69
all,1000000,2021,3,2598,2198,400
all,1000000,2021,4,3132,2673,459
all,1000000,2022,1,780,470,310
all,1000000,2022,2,571,476,95
all,1000000,2022,3,2226,1820,406
all,1000000,2022,4,3103,2609,494
all,1000000,2023,1,581,250,331
all,1000000,2023,2,410,352,58
all,1000000,2023,3,1647,1250,397
all,1000000,2023,4,2246,1725,521
all,1000000,2024,1,585,239,346
all,1000000,2024,2,544,466,78
all,1000000,2024,3,1612,1200,412
all,1000000,2024,4,2439,1860,579
all,1000000,2025,1,690,303,387
all,1000000,2025,2,618,526,92
all,1000000,2025,3,1668,1269,399
all,1000000,2025,4,2650,2097,553
all,2000000,2020,1,201,99,102
all,2000000,2020,2,5,1,4
all,2000000,2020,3,265,197,68
all,2000000,2020,4,53,41,12
all,2000000,2021,1,469,254,215
all,2000000,2021,2,9,5,4
all,2000000,2021,3,513,382,131
all,2000000,2021,4,85,64,21
all,2000000,2022,1,384,206,178
all,2000000,2022,2,8,3,5
all,2000000,2022,3,566,427,139
all,2000000,2022,4,150,110,40
all,2000000,2023,1,251,92,159
all,2000000,2023,2,9,3,6
all,2000000,2023,3,378,260,118
all,2000000,2023,4,105,65,40
all,2000000,2024,1,303,115,188
all,2000000,2024,2,9,5,4
all,2000000,2024,3,457,312,145
all,2000000,2024,4,130,84,46
all,2000000,2025,1,306,115,191
all,2000000,2025,2,13,5,8
all,2000000,2025,3,511,380,131
all,2000000,2025,4,149,108,41
all,3000000,2020,1,100,56,44
all,3000000,2020,2,0,0,0
all,3000000,2020,3,62,43,19
all,3000000,2020,4,3,2,1
all,3000000,2021,1,214,105,109
all,3000000,2021,2,5,1,4
all,3000000,2021,3,142,107,35
all,3000000,2021,4,6,0,6
all,3000000,2022,1,216,105,111
all,3000000,2022,2,0,0,0
all,3000000,2022,3,155,107,48
all,3000000,2022,4,9,6,3
all,3000000,2023,1,148,47,101
all,3000000,2023,2,1,0,1
all,3000000,2023,3,113,69,44
all,3000000,2023,4,7,1,6
all,3000000,2024,1,141,43,98
all,3000000,2024,2,5,1,4
all,3000000,2024,3,142,88,54
