threshold,placebos,difference_in_log_ratios,se,ci_low,ci_high,percent_change_relative_ratio
500000,"1500000,1750000,2250000,2500000",0.1938651975416763,0.034432440950101506,0.12637761327947736,0.2613527818038752,21.393263082325166
500000,1500000,0.1780057232003545,0.04376963989470318,0.09221722900673626,0.2637942173939727,19.483215947907116
500000,1750000,0.2204397752321683,0.05133211403060223,0.11982883173218793,0.32105071873214863,24.66248447855649
500000,2250000,0.19411420117796335,0.06480682757434449,0.06709281913224815,0.3211355832236785,21.423494209927565
500000,2500000,0.18290109055621906,0.07496279114916278,0.03597401990386001,0.3298281612085781,20.06956420692803
1000000,"1500000,1750000,2250000,2500000",0.016614653633061745,0.04521284960515819,-0.0720025315930483,0.1052318388591718,1.6753444579816437
1000000,1500000,0.0007551792917399325,0.053142325067618984,-0.10340377784079327,0.10491413642427314,0.07554645114140808
1000000,1750000,0.043189231323553734,0.05778881448112053,-0.0700768450594425,0.15645530770654997,4.413545929226392
1000000,2250000,0.016863657269348797,0.07137854573352677,-0.12303829236836367,0.15676560690706126,1.7006651408126394
1000000,2500000,0.005650546647604518,0.08090733464446223,-0.15292782925554144,0.1642289225507505,0.5666541097917819
2000000,"1500000,1750000,2250000,2500000",-0.3388113902749958,0.06647965309224159,-0.4691115103357893,-0.2085112702142023,-28.73831571184255
2000000,1500000,-0.3546708646163176,0.07149951550879942,-0.4948099150135644,-0.21453181421907072,-29.859573781790722
2000000,1750000,-0.3122368125845038,0.07750186290693067,-0.46414046388208796,-0.16033316128691968,-26.819179368598096
2000000,2250000,-0.33856238663870875,0.08587778619618393,-0.5068828475832292,-0.17024192569418825,-28.720569083931114
2000000,2500000,-0.34977549726045304,0.09387333898621009,-0.5337672416734248,-0.16578375284748129,-29.51536881146282
3000000,"1500000,1750000,2250000,2500000",-0.6229433129250104,0.12003392866576201,-0.8582098131099039,-0.38767681274011684,-46.36365733750545
3000000,1500000,-0.6388027872663321,0.12429863660393566,-0.8824281150100459,-0.39517745952261824,-47.20759167127226
3000000,1750000,-0.5963687352345184,0.12659857791091658,-0.8445019479399148,-0.34823552252912193,-44.919186082713445
3000000,2250000,-0.6226943092887233,0.13219838596707723,-0.8818031457841946,-0.36358547279325193,-46.35030003020532
3000000,2500000,-0.6339074199104675,0.1353017079941775,-0.8990987675790554,-0.3687160722418796,-46.94851983036561
