period,threshold,above,below,log_ratio,ratio,se_log_ratio
2016-2018,500000,16665,17360,-0.04085799747250107,0.9599654377880185,0.01632685863702243
2020-2025,500000,25802,21622,0.17674069343236515,1.1933216168717047,0.01988212291497727
2016-2018,1000000,2523,8710,-1.2390231212054907,0.28966704936854193,0.03105764570606565
2020-2025,1000000,6113,20269,-1.198674974209239,0.3015935665301692,0.021458628661835424
2016-2018,1500000,2091,2748,-0.2732309539136064,0.7609170305676856,0.03398441618057161
2020-2025,1500000,5403,6825,-0.23363798620909468,0.7916483516483517,0.0210851519509765
2016-2018,1750000,1378,1782,-0.2571031564571507,0.7732884399551067,0.0396602704423854
2020-2025,1750000,3628,4705,-0.2599442407844528,0.7710945802337938,0.02592428181841265
2016-2018,2000000,827,1136,-0.31746390425740534,0.7279929577464789,0.04811217122088064
2020-2025,2000000,1624,3057,-0.6325418011692112,0.5312397775596991,0.03638370547543118
2016-2018,2250000,741,828,-0.11101252908917283,0.894927536231884,0.051421817493566044
2020-2025,2250000,1935,2112,-0.08752803936226997,0.9161931818181818,0.03460180955411877
2016-2018,2500000,594,683,-0.13961554020814518,0.8696925329428989,0.05751291076374258
2020-2025,2500000,1582,1757,-0.10491793985949803,0.900398406374502,0.04319451615902808
2016-2018,3000000,381,405,-0.06108769197983815,0.9407407407407408,0.0703886141974789
2020-2025,3000000,557,1078,-0.6602975115416585,0.5166975881261595,0.09119386402420507
