sample,sales,threshold,difference_in_log_ratios,se,ci_low,ci_high
nonmissing_parcel_ids,423758,1000000,0.007152275046596518,0.04496598277776946,-0.08098105119783162,0.09528560129102466
nonmissing_parcel_ids,423758,2000000,-0.3443958893904413,0.06765912615322565,-0.47700777665076355,-0.21178400213011903
nonmissing_parcel_ids,423758,3000000,-0.58838214719609,0.12033425732572467,-0.8242372915545104,-0.3525270028376697
collapse_identical_stored_tuples_sensitivity_only,419646,1000000,0.005421856427539024,0.043981516435153765,-0.08078191578536235,0.0916256286404404
collapse_identical_stored_tuples_sensitivity_only,419646,2000000,-0.3487380173227232,0.06548875286456345,-0.4770959729372676,-0.22038006170817884
collapse_identical_stored_tuples_sensitivity_only,419646,3000000,-0.6527395090671508,0.09598213147329215,-0.8408644867548034,-0.4646145313794982
four_borough_matched_panel,249395,1000000,0.007747361256014541,0.04651915508564565,-0.08343018271185093,0.09892490522388
four_borough_matched_panel,249395,2000000,-0.44474590972656186,0.07659767981590403,-0.5948773621657337,-0.29461445728739
four_borough_matched_panel,249395,3000000,-0.6757039591516384,0.11925605078769186,-0.9094458186955144,-0.44196209960776234
four_borough_condo,82488,1000000,0.02637548012190412,0.07002212549295835,-0.11086788584429423,0.16361884608810245
four_borough_condo,82488,2000000,-0.19478183838221713,0.10148376393109682,-0.3936900156871669,0.00412633892273262
four_borough_condo,82488,3000000,-0.6077740464993043,0.14412552718595478,-0.8902600797837756,-0.32528801321483297
four_borough_house,166907,1000000,-0.044641588353455997,0.066929023054002,-0.17582247353929992,0.08653929683238792
four_borough_house,166907,2000000,-0.7909132001928053,0.11770473489097527,-1.0216144805791167,-0.5602119198064938
four_borough_house,166907,3000000,-0.8168314322449338,0.21573042056826303,-1.2396630565587294,-0.3939998079311383
