from,to,estimand,difference,se,ci_low,ci_high
S0_original,S1_permit_free,residual,-0.018011059927988404,0.005720829241952572,-0.029223885242215447,-0.006798234613761363
S0_original,S1_permit_free,joint,-0.017872543472393893,0.005904906926141742,-0.029446161047631706,-0.006298925897156079
S1_permit_free,S2_named_institution_exclusion,residual,0.011362704826060721,0.002503096374179279,0.006456635932669335,0.01626877371945211
S1_permit_free,S2_named_institution_exclusion,joint,0.01183409890096132,0.0025627580626847823,0.0068110930980991476,0.016857104703823494
S2_named_institution_exclusion,S3_buyer_seller_controls,residual,-0.03243546357463983,0.0034619921381567813,-0.039220968165427125,-0.02564995898385254
S2_named_institution_exclusion,S3_buyer_seller_controls,joint,-0.023174929959415183,0.0033981124977635812,-0.0298352304550318,-0.016514629463798565
S3_buyer_seller_controls,S4_same_linked_sample,residual,0.0032271277247201413,0.001035172533573489,0.0011981895589161027,0.0052560658905241794
S3_buyer_seller_controls,S4_same_linked_sample,joint,0.0036509966216299594,0.0011889262325058222,0.001320701205918548,0.0059812920373413705
S4_same_linked_sample,S5_community_district_year,residual,-0.000886593815767181,0.003290202788178905,-0.007335391280597834,0.005562203649063472
S4_same_linked_sample,S5_community_district_year,joint,0.006300617633818104,0.003825777650845068,-0.00119790656183823,0.013799141829474438
S4_same_linked_sample,S6_zip_year,residual,-0.011704830192211454,0.004671581358412711,-0.02086112965470037,-0.0025485307297225413
S4_same_linked_sample,S6_zip_year,joint,0.00385441550519125,0.005416125838054238,-0.006761191137395057,0.014470022147777557
S6_zip_year,S7_stable_financing,residual,-0.002241332933722681,0.0016981054250038298,-0.0055696195667301876,0.0010869536992848252
S6_zip_year,S7_stable_financing,joint,-0.002237759137780862,0.0023742503126619957,-0.0068912897505983735,0.0024157714750366495
S6_zip_year,S8_broad_lender_exclusion,residual,0.0005810284023725493,0.0011233608875236738,-0.0016207589371738515,0.00278281574191895
S6_zip_year,S8_broad_lender_exclusion,joint,0.0005517848609387921,0.0016007168443041438,-0.0025856201538973296,0.003689189875774914
S6_zip_year,S9_unique_deed_amount_match,residual,-0.0011608203659738137,0.0022701536007112937,-0.005610321423367949,0.0032886806914203216
S6_zip_year,S9_unique_deed_amount_match,joint,-0.00019930137454071684,0.0032525072878605656,-0.006574215658747425,0.006175612909665991
S0_original,S6_zip_year,residual,-0.04756152114405883,0.007136049234341115,-0.06154817764336742,-0.03357486464475024
S0_original,S6_zip_year,joint,-0.021707962404026546,0.008220446386067476,-0.0378200373207188,-0.005595887487334292
