threshold,window_width,comparison,estimate,se,ci_low,ci_high,pre_above,pre_below,post_above,post_below,relative_ratio_change_percent,grandfathering_unresolved
1000000,50000,baseline_2020_2025,-0.12262788387792756,0.06925478938503331,-0.25836727107259283,0.013111503316737716,901,3835,1982,9276,-11.54072274444076,False
1000000,50000,pandemic_2020_2021,-0.2612372983655471,0.0868836803076553,-0.43152931176855147,-0.09094528496254273,901,3835,613,3159,-22.990184510241562,False
1000000,50000,later_2022_2025,-0.060472816361032855,0.07486591559942198,-0.2072100109358999,0.0862643782138342,901,3835,1369,6117,-5.868064284382757,False
1000000,50000,2019_H2_season_matched,-0.06504425793507695,0.1444578242719779,-0.34818159350815364,0.21809307763799973,443,1971,136,700,-6.29740083758196,True
1000000,50000,2019_Q4_season_matched,-0.08213146203502375,0.20428244811706106,-0.4825250603444634,0.3182621362744159,230,981,74,347,-7.8849145629666895,True
2000000,50000,baseline_2020_2025,-0.5704640114581401,0.09233820548957272,-0.7514468942177026,-0.38948112869857754,507,457,833,1292,-43.47369107126154,False
2000000,50000,pandemic_2020_2021,-0.5683345791272607,0.12555889442346477,-0.8144300121972516,-0.3222391460572698,507,457,275,408,-43.353193871699844,False
2000000,50000,later_2022_2025,-0.5758267515532464,0.10178926127486647,-0.7753337036519846,-0.3763197994545081,507,457,558,884,-43.77601560608461,False
2000000,50000,2019_H2_season_matched,-0.6678936420162783,0.23883763275000192,-1.136015402206282,-0.1997718818262746,258,233,44,84,-48.72124448078905,True
2000000,50000,2019_Q4_season_matched,-0.7729435509534159,0.32834598334577353,-1.416501678311132,-0.12938542359569982,111,99,23,45,-53.83478303275761,True
3000000,50000,baseline_2020_2025,-0.6475271487874998,0.1762233565279975,-0.9929249275823749,-0.30212936999262474,248,206,331,511,-47.66616842372766,False
3000000,50000,pandemic_2020_2021,-0.3438560742137714,0.2819452552880648,-0.8964687745783784,0.20875662615083557,248,206,130,142,-29.096903145418633,False
3000000,50000,later_2022_2025,-0.8049453519567881,0.19172495101774914,-1.1807262559515763,-0.42916444796199976,248,206,201,369,-55.288764029270766,False
3000000,50000,2019_H2_season_matched,-0.19805874820432956,0.33415409003844354,-0.8530007646796789,0.45688326827101977,111,98,24,28,-17.96783407022623,True
3000000,50000,2019_Q4_season_matched,-0.2948496256824623,0.5084606008044811,-1.2914324032592452,0.7017331518943206,51,45,10,12,-25.535644568648202,True
