bbl,deed_a,deed_z,related_a,related_z,related_strict_a,related_strict_z,party_data_a,party_data_z
1005280027,2017071301233003,2020110300868001,0,0,0,0,1,1
1006190019,2017082800965002,2021112200349001,0,0,0,0,1,1
1006340057,2019112700558001,2024081400554001,0,0,0,0,1,1
1012080017,2020040100127001,2024031300790001,0,0,0,0,1,1
1013260018,2016121200303001,2025013100596001,0,0,0,0,1,1
1014330113,2021100500594001,2025051500886001,0,0,0,0,1,1
1014430035,2020112300782001,2025060400647001,0,0,0,0,1,1
1014720129,2016031500466002,2025041601043001,0,0,0,0,1,1
1015640014,2016020400309001,2021122001462002,1,0,1,0,1,1
1015830038,2022090701070001,2025102100688004,0,0,0,0,1,1
1016590031,2017042500858001,2021081600266001,0,0,0,0,1,1
1017180067,2019020700195001,2024070800869001,0,0,0,0,1,1
1017210121,2017101001165001,2021060300218003,1,0,1,0,1,1
1017240167,2018112800753001,2024060700240005,0,0,0,0,1,1
1017290117,2016031700155001,2021091500249003,0,0,0,0,1,1
1017490023,2019020101086001,2024052400748001,0,0,0,0,1,1
1017500049,2020012701003002,2025020400230001,0,0,0,0,1,1
1017700075,2018010500142003,2022050900292002,0,0,0,0,1,1
1017950016,2017091900333001,2025071000828001,0,0,0,0,1,1
1017960048,2016092600498001,2023081700566001,0,0,0,0,1,1
1018070133,2017032400612001,2022061300684001,0,0,0,0,1,1
1018410016,2016062701997003,2020060400003001,0,0,0,0,1,1
1018410049,2016081201082002,2024062800257003,0,0,0,0,1,1
1019070123,2022090200729001,2025090700071002,1,0,1,0,1,1
1019140154,2018110200994003,2021122901341003,1,0,1,0,1,1
1019170126,2018092100002001,2023052500653003,0,0,0,0,1,1
1019370123,2019022501181002,2023031000524001,0,0,0,0,1,1
1019370154,2016030701298001,2022101201119004,0,0,0,0,1,1
1020240009,2016050300965002,2021080500031001,0,0,0,0,1,1
1020500027,2019071500685001,2025010700888001,0,0,0,0,1,1
